"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"43",68791,2020-03-13,"Malaysia","N/A","Confirmed",197,48,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"44",68792,2020-03-13,"Malaysia","N/A","Active",171,48,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"45",69317,2020-02-06,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"46",69318,2020-02-06,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"47",69319,2020-02-06,"Malaysia","N/A","Confirmed",12,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"48",69320,2020-02-06,"Malaysia","N/A","Active",12,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"49",69329,2020-02-22,"Malaysia","N/A","Recovered",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"50",69330,2020-02-22,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"51",69331,2020-02-22,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"52",69332,2020-02-22,"Malaysia","N/A","Active",7,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"53",70489,2020-03-16,"Malaysia","N/A","Recovered",42,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"54",70490,2020-03-16,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"55",70491,2020-03-16,"Malaysia","N/A","Confirmed",566,138,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"56",70492,2020-03-16,"Malaysia","N/A","Active",524,138,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"57",70501,2020-02-17,"Malaysia","N/A","Recovered",7,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"58",70502,2020-02-17,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"59",70503,2020-02-17,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"60",70504,2020-02-17,"Malaysia","N/A","Active",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"61",70581,2020-02-26,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"62",70582,2020-02-26,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"63",70583,2020-02-26,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"64",70584,2020-02-26,"Malaysia","N/A","Active",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"65",71205,2020-02-15,"Malaysia","N/A","Recovered",7,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"66",71206,2020-02-15,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"67",71207,2020-02-15,"Malaysia","N/A","Confirmed",22,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"68",71208,2020-02-15,"Malaysia","N/A","Active",15,-1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"69",71245,2020-02-23,"Malaysia","N/A","Recovered",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"70",71246,2020-02-23,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"71",71247,2020-02-23,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"72",71248,2020-02-23,"Malaysia","N/A","Active",7,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"73",71293,2020-03-04,"Malaysia","N/A","Recovered",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"74",71294,2020-03-04,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"75",71295,2020-03-04,"Malaysia","N/A","Confirmed",50,14,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"76",71296,2020-03-04,"Malaysia","N/A","Active",28,14,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"77",71425,2020-02-10,"Malaysia","N/A","Recovered",1,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"78",71426,2020-02-10,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"79",71427,2020-02-10,"Malaysia","N/A","Confirmed",18,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"80",71428,2020-02-10,"Malaysia","N/A","Active",17,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"81",71873,2020-03-02,"Malaysia","N/A","Recovered",18,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"82",71874,2020-03-02,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"83",71875,2020-03-02,"Malaysia","N/A","Confirmed",29,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"84",71876,2020-03-02,"Malaysia","N/A","Active",11,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"85",72157,2020-01-23,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"86",72158,2020-01-23,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"87",72159,2020-01-23,"Malaysia","N/A","Confirmed",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"88",72160,2020-01-23,"Malaysia","N/A","Active",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"89",72601,2020-03-10,"Malaysia","N/A","Recovered",24,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"90",72602,2020-03-10,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"91",72603,2020-03-10,"Malaysia","N/A","Confirmed",129,12,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"92",72604,2020-03-10,"Malaysia","N/A","Active",105,12,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"93",73149,2020-03-18,"Malaysia","N/A","Recovered",60,11,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"94",73150,2020-03-18,"Malaysia","N/A","Deaths",2,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"95",73151,2020-03-18,"Malaysia","N/A","Confirmed",790,117,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"96",73152,2020-03-18,"Malaysia","N/A","Active",728,106,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"97",73545,2020-02-04,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"98",73546,2020-02-04,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"99",73547,2020-02-04,"Malaysia","N/A","Confirmed",10,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"100",73548,2020-02-04,"Malaysia","N/A","Active",10,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"101",74057,2020-03-11,"Malaysia","N/A","Recovered",26,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"102",74058,2020-03-11,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"103",74059,2020-03-11,"Malaysia","N/A","Confirmed",149,20,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"104",74060,2020-03-11,"Malaysia","N/A","Active",123,18,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"105",78225,2020-01-25,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"106",78226,2020-01-25,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"107",78227,2020-01-25,"Malaysia","N/A","Confirmed",3,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"108",78228,2020-01-25,"Malaysia","N/A","Active",3,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"109",78473,2020-03-05,"Malaysia","N/A","Recovered",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"110",78474,2020-03-05,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"111",78475,2020-03-05,"Malaysia","N/A","Confirmed",50,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
