"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"209",92393,2020-02-05,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"210",92394,2020-02-05,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"211",92395,2020-02-05,"Malaysia","N/A","Confirmed",12,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"212",92396,2020-02-05,"Malaysia","N/A","Active",12,2,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"213",92597,2020-01-24,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"214",92598,2020-01-24,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"215",92599,2020-01-24,"Malaysia","N/A","Confirmed",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"216",92600,2020-01-24,"Malaysia","N/A","Active",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"217",93313,2020-02-16,"Malaysia","N/A","Recovered",7,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"218",93314,2020-02-16,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"219",93315,2020-02-16,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"220",93316,2020-02-16,"Malaysia","N/A","Active",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"221",94317,2020-03-19,"Malaysia","N/A","Recovered",75,15,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"222",94318,2020-03-19,"Malaysia","N/A","Deaths",2,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"223",94319,2020-03-19,"Malaysia","N/A","Confirmed",900,110,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"224",94320,2020-03-19,"Malaysia","N/A","Active",823,95,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"225",94781,2020-03-03,"Malaysia","N/A","Recovered",22,4,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"226",94782,2020-03-03,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"227",94783,2020-03-03,"Malaysia","N/A","Confirmed",36,7,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"228",94784,2020-03-03,"Malaysia","N/A","Active",14,3,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"229",96805,2020-03-14,"Malaysia","N/A","Recovered",35,9,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"230",96806,2020-03-14,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"231",96807,2020-03-14,"Malaysia","N/A","Confirmed",238,41,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"232",96808,2020-03-14,"Malaysia","N/A","Active",203,32,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
